geracao; tamanhoAntesOP;taxaCruzamento;taxaMutacao;melhor;mediana
1;20;0.6;0.15;[1, 2, 3, 23, 33, 49, 55, 57, 70] - 3674;4732
2;80;0.6;0.15;[1, 2, 3, 23, 33, 49, 55, 57, 70] - 3674;4452
3;80;0.6;0.15;[1, 2, 3, 23, 33, 49, 55, 57, 70] - 3674;4203
4;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3976
5;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4198
6;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3884
7;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3884
8;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3837
9;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4214
10;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3674
11;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4247
12;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4136
13;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4261
14;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3854
15;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3457
16;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4062
17;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3998
18;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4140
19;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4079
20;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3827
21;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4174
22;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3884
23;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4243
24;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4223
25;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4443
26;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4320
27;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4063
28;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4343
29;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4310
30;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4021
31;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4267
32;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4380
33;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4120
34;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3856
35;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3683
36;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3891
37;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4102
38;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4239
39;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4342
40;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4184
41;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4338
42;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4450
43;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4393
44;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;3975
45;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4131
46;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4368
47;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4301
48;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4242
49;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4139
50;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4487
51;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4109
52;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4274
53;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4095
54;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4435
55;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;3997
56;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4176
57;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4252
58;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4375
59;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;3998
60;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4162
61;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4381
62;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4372
63;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4257
64;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4228
65;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4255
66;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4243
67;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4333
68;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4294
69;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4058
70;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4030
71;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;3988
72;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4471
73;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4147
74;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4234
75;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4215
76;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4479
77;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4281
78;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4281
79;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4044
80;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4218
81;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4083
82;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4250
83;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4282
84;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4282
85;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4174
86;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;3761
87;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4312
88;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4177
89;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4246
90;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4195
91;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4442
92;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4236
93;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4150
94;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4158
95;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4263
96;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4215
97;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4416
98;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4370
99;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4251
100;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4078
101;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4399
102;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4230
103;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;3722
104;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;3722
105;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4382
106;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4119
107;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;3856
108;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4369
109;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4456
110;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4315
111;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4043
112;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4377
113;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4155
114;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4243
115;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4387
116;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4109
117;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;3940
118;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4183
119;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4229
120;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4284
121;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4288
122;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4289
123;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4120
124;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4274
125;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4519
126;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4558
127;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4286
128;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;3710
129;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4244
130;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4251
131;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4184
132;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4190
133;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4135
134;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;3724
135;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4457
136;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4360
137;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4448
138;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;3975
139;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4176
140;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4179
141;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4035
142;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4151
